,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_wAll,Linear_w200
1206,0.8558000064659457,0.8567425969273368,0.859836731074816,0.863063282251724,0.8622066987956346,0.862490590901705,1.071887918596196,0.9640580669753268
1207,1.046969831854496,1.0463314492341378,1.046384728306041,1.0471093003083678,1.0487951565680158,1.04764856578541,1.2425498160011414,1.1192193059007978
1208,1.0881498665287503,1.0480511988153287,1.0392278472494982,1.0139672939530133,1.0042284991212802,1.0025438836566216,2.5040066656013065,1.0023020507792295
1209,0.7399681859378698,0.7346353676337738,0.7338058188237065,0.7327837330231104,0.734608805776959,0.7366510525616194,0.8114762702258518,0.8678227527377852
1210,1.2810324462791007,1.2820811539361612,1.2839248926941547,1.2869689659568349,1.2919208461782559,1.2910160596587525,1.7326113527708245,1.347901071923201
1211,0.9174492641624276,0.9055899983400151,0.9069672231708014,0.9074374429883385,0.9055193449249349,0.9077974124223431,1.412924106386845,1.0090426470868914
1212,0.9118274332690117,0.9142839474844926,0.9133466105970655,0.9144305315244857,0.9130504610492027,0.9140860688204688,1.1768194911433325,1.0279463454075668
1213,0.988856037057939,0.9859453276212804,0.9854568403678049,0.9858137419207258,0.9848342296710244,0.9851134101291347,1.2281222563557648,1.036794288271892
1214,0.911280503979382,0.9126166966005476,0.9137648447377088,0.9137864114037579,0.9148371191838123,0.9137757703501149,1.1678720791902366,1.0432718702047743
1215,0.7924746477180266,0.8006999031374132,0.8038215626717564,0.8042387580674336,0.8075180688627206,0.8100092424736896,1.0515119991522754,0.9827789475597726
1216,0.9338252440705072,0.9148029935720514,0.916395142384798,0.9147196106617403,0.9140363262532718,0.9131410760100805,1.3322734863399608,0.9589470976775176
1217,1.0875340008073622,1.0954330285705565,1.092435687605309,1.0904080625765256,1.0880973708420452,1.0881432505755275,1.6150762801495986,1.173769987164446
1218,0.9513605351448332,0.9497849796158615,0.9498595792349002,0.9449463965980774,0.9450461336845227,0.9437616184969039,1.6619250955621825,0.9914708136519912
1219,0.4991700082003339,0.5009042439998236,0.5014837496308122,0.5050206121717001,0.5089503233663755,0.5120799245551022,0.6777054640041237,0.6933488501447289
1220,0.719767290872425,0.7134770356667894,0.7130340690655732,0.7148108070171986,0.7165595587718648,0.7185320220243361,1.0270855611702487,0.8711289631738137
1221,0.4152191886898853,0.42178887607629356,0.42191312530115277,0.4225966234794993,0.42082253422027366,0.41966645823884535,0.4761163337095637,0.7611700154363505
1222,0.8331006412869847,0.8375802622065704,0.8387524012319181,0.8367580064243144,0.8364531332137471,0.8375029259444927,1.1458625068707926,0.9208398259488184
1223,0.8307881336958161,0.8286880031985083,0.8285184587227953,0.8301121522429908,0.8299143443161644,0.8297588223987518,1.1448631118732902,0.9722459764757626
1224,0.9528070126838877,0.9525580046592574,0.9510582040472483,0.9483615593349627,0.9466598692616338,0.946582971251661,1.3173050531999904,1.0193033800720752
1225,0.9420764203558022,0.944137405746774,0.9449726663019826,0.9443466422182234,0.9430368532226224,0.943389937562158,1.23702222347388,0.9883708154478156
1226,0.840243116820809,0.8412777122093378,0.8418768679408111,0.8423504381135609,0.8450124898039821,0.8451207962583159,1.2318235853733024,0.9312608266781328
1227,0.6230061008499387,0.6152760634827337,0.6134699041866987,0.6125864108232587,0.6150009467788952,0.6148205142948697,0.8037370226113637,0.7555947276474181
1228,1.003615072661781,1.0028153216424633,1.0015825726630814,0.9977238758319955,1.0012088899932436,0.9998782076471384,1.7219095183397894,1.0892366701100828
1229,0.8913122105854433,0.8793084806630058,0.8804111791110246,0.8815413086524228,0.8807903893146036,0.8810574387547178,1.4272603727607784,0.9584403069551946
1230,0.8457175510645171,0.8455782886789749,0.8425221005497149,0.839856304205707,0.838177209422884,0.838128211283137,1.1265789553305057,0.9142112179880938
