,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Exp_wAll,Linear_wAll
17,1.2302696917425162,1.1197674164899651,1.0858836036677235,1.0639855455658687,1.043471833601529,1.037583339161531,1.1140642251076782,1.2800246341045436
18,1.6281333295690057,1.2363713935946927,1.2695567960989047,1.1933262541334724,1.147775721793348,1.1331378556842162,0.9876366657662188,1.1313724878806903
19,1.23695585073817,1.2320852640091962,1.2555478187751046,1.2457155064827874,1.270327749582922,1.2557261322212492,1.0985456445500412,1.186020439746691
20,1.3357216103178224,1.163342974090466,1.2245210517999507,1.2355086109899425,1.3006976954191285,1.3061807903407625,0.7006989000165537,0.6947988600055588
21,1.6068459509836843,1.2972349940721541,1.2753915672346647,1.2349218734622305,1.199322147297687,1.1918963850785744,0.9463491313824758,1.4095884182769802
22,1.5397390661284038,1.1634136028121431,1.2686769041405224,1.2301016618805392,1.1844032560327578,1.1821308931401462,0.5495760431967813,0.6790867086337096
23,1.8500079882617946,1.2041857610006215,1.2050952759445388,1.1026716777788346,1.055506631820234,1.0483673621242684,1.25962467939419,1.3478782536639835
24,1.5951332716069957,1.3782853762711502,1.3650009921169977,1.299891394480156,1.2868074645729897,1.279296229832767,0.8966354285996435,0.9466310095666144
25,1.7063458459554817,1.3492966431185571,1.268118739139028,1.2278400642587588,1.1679755437766313,1.1627673231257065,0.9393271147465244,0.9717143579978136
26,1.8318658232198566,1.1321682430765265,1.3040153384236934,1.2012843343958404,1.1158262444745046,1.1141192916072393,1.0384411417470252,1.0499508726878188
27,1.6891222479698418,1.4192111532771556,1.4717333030125022,1.4218099175641108,1.3818050987224992,1.3623971223687232,0.4832612207825942,0.5611724612624992
28,1.4525973138431088,1.0633744686938569,1.1167261993891786,1.0566224349060693,1.0258696199848885,1.0141536479723803,1.1511453643108869,1.32145080708432
29,1.0161317953363358,1.0507877461677582,1.0743403281409294,1.0928293392362782,1.0711417479763827,1.0432070423798718,1.2219188143157838,1.2493307320696925
30,1.335808488620582,1.1801413983919475,1.2096747369627778,1.2236200379667814,1.2070432888671483,1.199077612817141,0.746487879151146,0.8574579272062581
31,1.0348743198658565,1.0214135755785965,1.076712360320633,1.151113059502437,1.190676992082952,1.18662277206383,0.983795965472658,1.0889025873824203
32,1.0115180425325248,1.0362587119430244,1.091226488655448,1.1275238177085285,1.1150615737069989,1.122420149484915,1.0407044739488929,1.0722982081923866
33,1.6204627885106353,1.1561550106622291,1.2300419777752643,1.1668527383677647,1.1431922991820147,1.125855935778119,0.8014966975672293,0.8209201933403457
34,1.4055028837426595,1.0898373884645016,1.0737788449573527,1.0173495458970998,0.9973740686197005,0.978986720376948,0.8973627153620253,1.0631587216669656
35,1.2225117988737422,1.114698471737084,1.109019438197643,1.0900201421880595,1.0996759776166662,1.0773895410710974,1.04403589237894,1.0673022058866466
36,1.2477968624379205,1.1932094864848044,1.204133538322983,1.17786490634815,1.1630155494613925,1.158179165098045,1.1118748385367532,1.145813688532349
