,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Exp_w200,Exp_wAll
178,1.0890248444968125,1.0851967182047557,1.0815330767766402,1.0801802611452171,1.0787612142712135,1.0793025690244338,1.1098593659861182,1.126679331699226
179,1.1373314903749272,1.1086507737516798,1.106960333971177,1.1037954087319797,1.1022538675450424,1.1026001161729349,1.1860269222106188,1.264274944132068
180,1.1686497223374268,1.1717126543202583,1.172895079090521,1.173276955164402,1.171998800611647,1.172066643085605,0.962127115930462,0.9195910982174488
181,1.1572594371084566,1.151919552369343,1.1513337503349532,1.152260552693472,1.1520455003236167,1.1525619629324395,1.0484319333330354,1.1843601160237776
182,0.799957104282764,0.7940092202896638,0.7935882227492769,0.7939086551290253,0.791373534707747,0.7921571736610165,1.0644423130994785,1.0734590562317146
183,2.131180881551456,2.1290307709932192,2.1300355969376166,2.1296974564895583,2.12903530774931,2.1291888987135974,1.0590671434621255,1.183702417329323
184,1.3075272010212837,1.3049129733718368,1.3072484490214804,1.3088266297685454,1.3108680428975656,1.312358811191104,0.5404055631143826,0.4264995736539119
185,1.6845886682163425,1.6835724988288752,1.6804906368406,1.6803091855915437,1.6803088678942713,1.6799418816564424,0.8236345690005312,0.8734602227624485
186,1.1944384064966873,1.1962913902025194,1.1974900927325207,1.195712804453662,1.1957591622897918,1.196400055192866,0.8870630966563199,0.933204526198702
187,1.1096090195370647,1.1083913988492597,1.1072691917802695,1.1049171092063381,1.102827943439789,1.103284700680773,0.9180354365558469,0.8719579343860567
188,1.1508018244888456,1.1486484435325477,1.1428802265958131,1.1441112245584713,1.1426363230925365,1.1426421730130216,0.927631991578195,0.9979397497330552
189,1.1630231214858189,1.1392737251730376,1.1370333590403585,1.1373794970949913,1.1387082522364413,1.138757726864829,0.9793942229548206,0.8290374603168356
190,1.1348388486200767,1.121037316270322,1.124649347251748,1.134682192301076,1.1413240691736142,1.1481724082828733,0.9383061792329704,0.5539534119788765
