,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_wAll,Linear_wAll
71,1.010623280543717,1.010007901511952,1.0094417715584285,1.0098478336098304,1.0100273285928987,1.010018445392086,1.253246462446998,1.237424957078318
72,1.4539496621522932,1.4537543903481276,1.4542524577660765,1.4544912856230636,1.4546446985146901,1.4545367221881422,0.8598833588214676,0.6835613178868684
73,1.3056135186268996,1.3040167217257745,1.3041077882717842,1.3039406170304024,1.3039598204214031,1.3038368754803125,0.5816793536949227,0.5780432073586447
74,1.2945126887709495,1.2930792328177887,1.2929443686237174,1.2930181198322377,1.2924323161754905,1.2925577167725868,0.8773741051894818,0.7261077080644368
75,1.3007074560050909,1.3017060498492665,1.301592832650914,1.3014803709415328,1.301430199983163,1.3014366084649651,0.925837918284776,0.8304059922163115
76,1.178131355517772,1.1752262896291663,1.1767187441247038,1.1770575825451728,1.178459029272187,1.1783184275067466,2.0594700423501195,1.331378027411124
77,1.0616318406981342,1.0572439816157528,1.0550940587351878,1.0539258264975189,1.0546659131449208,1.05457850077785,1.468764664172954,1.2697885204670731
78,1.1006917118352295,1.1018121377668089,1.1008604411695273,1.1003615233100201,1.1007379282613945,1.1006632805385008,1.2115608281537582,1.2485491897486083
79,1.1575315106340691,1.1571717005316384,1.1574804873015043,1.156585259958349,1.1555960369273968,1.1556110717164412,1.2457043498446994,1.3952509310563328
80,1.1181596738181283,1.1155266383256446,1.1147419402654393,1.115780442610199,1.1158169587824698,1.115435693615883,1.3283967555246683,1.2575499696032757
81,1.2671123711230334,1.265943823292655,1.2659410145575423,1.2668835867621218,1.2671963204299248,1.267000712943698,1.4163270963860548,1.4454207857884944
82,1.1207395963305442,1.1213093015439426,1.1208282012942306,1.1210607118880087,1.1208682057468933,1.1210188852062788,1.0409881527236535,1.0127673279937075
83,1.1039883382111526,1.1027705031332742,1.1027420243838242,1.1031975961112412,1.1032330038601756,1.1033598598384828,1.227851267196011,1.0868048453349113
84,1.2047515621809157,1.203616824945779,1.2037104107830134,1.20428959585801,1.2042034876830634,1.2042245899632351,1.0030244888747653,1.0045361920249127
85,1.2489886340942333,1.2491251371730132,1.2504893840480034,1.2496804121539233,1.2498077521631463,1.2500127931048381,1.4993519153242554,1.2673725076850313
86,1.2489773447284207,1.248618779291643,1.2466915581308973,1.2467213058013993,1.2470200294193654,1.247046803994672,1.1988241102772268,0.8749531857892192
87,0.9907249394601686,0.9917262437293941,0.992274651782607,0.9917204252793571,0.9924066145518429,0.9921736314194318,1.4412952544955164,1.2788224605557887
88,1.0723460742754602,1.0697687779156655,1.068247558052447,1.0673265420513318,1.0669746855928675,1.067538743164872,1.3535210976986258,1.464289555131992
89,1.3387300982537205,1.3398833934661434,1.3394468136311064,1.3388344555934306,1.3383182044905515,1.3381358105727756,1.2293620502658646,1.1612731361057136
90,1.17147153109779,1.1707418193073473,1.1701350179441894,1.1701752866792345,1.1701497273541301,1.1700953073012423,1.0380870983298798,1.0020715372518658
91,1.1914213470109227,1.1891309308992626,1.1902525247792806,1.1901847501151746,1.1911649593592524,1.1909758286843084,1.0473483007455542,0.8220530613121589
92,1.1210354098865116,1.1217736766592148,1.1217027780024542,1.121134359859162,1.1210501733222227,1.1208698017928542,1.0471153222108966,1.117774037166914
93,1.2043464690507746,1.207239067616262,1.2064410288882352,1.2057665351009854,1.204212835802185,1.204304841308874,1.5051130535750488,1.5162905700597438
94,1.3585627800865672,1.3554765251883627,1.3534747224460641,1.3528930279134983,1.352510034619324,1.3526257633453878,1.4983465606144966,1.5200239140236318
95,1.206835226757021,1.2051800951217253,1.205703181057374,1.2061160124164712,1.2067324411315803,1.2069463788781212,1.1370420880185537,1.0364024369530969
96,1.4706420668310063,1.4675033122198031,1.4662225875871753,1.4661923452269674,1.4657871896809354,1.4658357420030672,0.9876616192164626,0.7143442704929245
97,1.107820167466979,1.1069998831091625,1.1039204546273478,1.1054305434417844,1.1052951906893318,1.106157334587441,1.527796266967166,1.3668977029165268
98,1.0634946931344242,1.0631482327332131,1.0624740993554465,1.062690064897722,1.0631746495603234,1.06337901468871,1.2516531183899249,1.265112842205588
99,1.2071102908191378,1.207647171924583,1.2076799666237221,1.2077650693187978,1.208450860933175,1.2083905361099234,0.947301635251104,1.0167767762823012
100,1.3903602679883715,1.389471019306366,1.3896120040338822,1.3898008744509565,1.3898525842958607,1.3899202970324809,0.6238369771486107,0.6241982574672639
