,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_w200,Exp_w200
228,0.6106926137412735,0.600933347375779,0.6043628775908038,0.6042333760409632,0.6067984704179666,0.6064646748557682,0.7074049468525169,0.7147012913896075
229,1.043153221396874,1.0367898377437084,1.0365501157630315,1.0364064783538056,1.0374161300357874,1.037726105736918,1.080996684657741,1.0933634126832208
230,1.044673919189381,1.035731677466416,1.0361892472449696,1.0368962180946513,1.0364797056547668,1.0366401345235379,1.1371575085616188,1.0830612326631628
231,1.0086657153880887,1.009619681743915,1.0069673460114072,1.0076755440436336,1.0081790251570126,1.0082122201544272,1.0767943204254058,1.0840292989800149
232,0.9079396533259241,0.88316963165229,0.8830754900402414,0.876734425204414,0.874349913736058,0.8740064908873826,0.9820601099286176,0.9755091631916516
233,1.0430776791199856,1.037749935406036,1.0386459828406789,1.0326169988534561,1.0310140827256664,1.0317367178594052,1.079870225895182,1.2140331573076657
234,1.040328733854111,1.043697416516147,1.0429465021087505,1.0404274194177325,1.041135928060012,1.0410266790116225,1.109905010438221,1.1481586477027883
235,0.9960486380728019,0.9983164799000389,0.9974590202956034,0.9948834320264529,0.9941773004955602,0.9948908154837771,1.0943761870977808,1.1234581615805812
236,1.0986801887182644,1.1010253980581297,1.1013840905201808,1.101425304537495,1.1017439589442861,1.101704690912869,1.1550621512656698,1.2019327188076423
237,1.0672660915010002,1.0697264384276668,1.0690221019585535,1.069543954066226,1.0697908935562803,1.0704701122955007,1.1447027681664494,1.1336861898047623
238,1.0226189613711396,1.0153805711774417,1.0178245623555777,1.0157717906410633,1.0166912356533608,1.0168065248443843,1.1219985591836956,1.2118821343897113
239,0.949034712031741,0.9494231724494907,0.9505673035389546,0.95118954436315,0.9518655689767421,0.951939678337797,1.0335290266221993,0.979946458783524
240,1.0246110235967094,1.0198144083310698,1.0178360904987713,1.0168053039273635,1.0162477777862466,1.0145030137242015,1.0837762937012592,1.1766756988347529
241,1.02759467867791,1.0249640444265915,1.0241687944949798,1.0243454481865684,1.025348421124507,1.0253101306499672,1.0952494116880276,1.145521181991079
242,0.9922367935628504,0.9943812176776903,0.9905237170746878,0.9885483612507979,0.9890141722952318,0.9892759196609817,1.0843602543010242,1.1129554339192125
243,1.0662460167568362,1.0678892739222225,1.068110614961841,1.0665373270873613,1.066604285969704,1.0676698434265426,1.084446950751298,1.1657455483501542
244,0.8863348899485594,0.8839361120591327,0.8855294516495119,0.8852583303524474,0.8853616594678535,0.8853367568416121,0.9290966750311708,0.9592772541818247
245,0.9567692103177222,0.9552841700944382,0.9548696723130062,0.9539000967287641,0.9542820133439742,0.9542564912764313,1.0344576567158843,1.0525713065156288
246,0.901312715154964,0.9007192845366896,0.9005350313986173,0.900579247535312,0.9007835049816252,0.9007900957955279,0.9341975437232688,0.9885670351135114
247,1.0222153423120002,1.0171915834424634,1.0169329043861919,1.0197936958385576,1.0195437259023494,1.0193147693553335,1.0897002298816267,1.0953513214554598
248,0.9667074351411938,0.9671413036145249,0.9676938847732137,0.9671265062172294,0.9669577696924366,0.966810443704336,1.079312684415523,1.000144137864419
249,0.9754086605265184,0.976146713889827,0.9762166545416556,0.9769890915132189,0.9754418816871239,0.976016534515374,1.0118899379223256,1.138973367507378
