,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,Plain_w200,Plain_wAll
35,1.0822599000405804,1.082027870283207,1.0842582249516652,1.0827006147339684,1.0858608982580276,1.0860864949878164,0.9203936245744828,1.2067204632730586
36,1.088031530062243,1.0812949561321996,1.0812118645657123,1.0812034508106505,1.0817207858638744,1.0822346671653864,0.9888951879041576,1.5101191881823115
37,0.9437110391286276,0.9368174162991781,0.9386084450202858,0.9410321902543807,0.9398614436878256,0.9399018036058898,0.8709733395378736,0.99303086723429
38,1.28936649875181,1.288964812884389,1.289202572848762,1.291820517322629,1.2950509404356183,1.2999720208003396,0.7910946339037193,0.916115111359382
39,1.1502550899061206,1.1469337051386563,1.1465394110110756,1.149298443701608,1.152454429997231,1.1528277564707978,0.6718890173750407,0.8556361833861742
40,1.1332511503716574,1.1396512567294808,1.1435970143304313,1.14271435348965,1.14584799970028,1.1481200645968677,0.769709589924758,0.6897958128670746
41,1.3865197479666356,1.3831759508366697,1.3827105174020404,1.3834492225545238,1.382228213073264,1.3823684100808304,0.9773874320332888,1.2284469734813712
42,0.9915152709246844,0.9856613407156383,0.9867931918165156,0.9863873981382851,0.9866598517882735,0.9864012040748181,1.1253463754402069,1.4853785669327149
43,1.2961909742287268,1.2967715919676386,1.2979309157432668,1.3004516779825586,1.3031611019616356,1.3039405707082028,0.650418069150929,0.7696705207091982
44,1.1563767628162636,1.1498801162857346,1.1506281262382914,1.1531161871906006,1.1542176072590595,1.153610588810675,0.9764335554449256,1.3857657694978465
45,1.0703407215738865,1.0586220982838974,1.060025188670455,1.059342897543527,1.058392020257056,1.0584353549483536,0.9982115544774076,1.1947444547404138
46,1.0484189704639444,1.040842498348244,1.040222711484137,1.0390223496289899,1.0372596090540782,1.0372413043513604,1.034981636841397,1.4423858708376776
47,1.4459876265791793,1.444871272969508,1.4466368347851932,1.4476174372179502,1.4500180714206747,1.449551785556802,0.7830589796585629,0.8517639755100507
48,0.9976001769242135,0.9834110072785247,0.9826545698037115,0.981097273523674,0.9813780420997558,0.9815474368504866,1.038381471143273,1.2028518930818342
49,1.1723108170873975,1.1700247356868738,1.1709651886928072,1.1759931918664865,1.1845753273275608,1.18520299086242,0.978721664791292,1.2830235323308772
50,1.4487525549272942,1.4335565944024526,1.4363862152952984,1.4383371687031778,1.444066012774539,1.4433557082550554,0.9185982998021962,1.192553920154141
51,1.171513523488921,1.1777367326690353,1.1761996460052098,1.173754651012817,1.17712771183104,1.1799560735640013,0.8293103731340756,0.7476403746120757
52,1.1054397494638757,1.106289136577507,1.1068261435865774,1.1071012765730481,1.106029118153224,1.1055704548894756,1.0270754786762497,1.2903908394840646
53,1.1621441588615482,1.1577786413441475,1.1568007873548871,1.1552552019551594,1.1544772596473212,1.1542100920140907,0.9547167702987522,1.1224059498309702
54,1.163010209943797,1.152905111526415,1.1569380563826728,1.1574115840911157,1.156894971098145,1.1572334098306083,0.9366888802216856,1.11133461138548
55,1.0442750257206606,1.033053811030367,1.0310314915661711,1.0348036669575096,1.0312499483316875,1.0307379176269584,0.9876900217692912,1.5436075078211389
56,1.0416707626799773,1.0328452200213132,1.0312566562639094,1.0315079181660094,1.0297023270766614,1.0305268070005262,1.0467752464295983,1.2598714396492068
57,1.092560515212345,1.0878313556497334,1.090043123860144,1.0903193226085075,1.090114809681981,1.09042490454751,0.9418146804485876,1.0926804768267604
58,1.4827717384234156,1.4842234284971554,1.4845476602346188,1.4841139875354776,1.4858606922954258,1.486651082619437,0.8793777374099975,0.9731482788989426
59,1.2154615284799797,1.211105354806369,1.21084995575986,1.2118268394901464,1.2114913332105348,1.2120013805529564,0.963188764057146,1.173091963266928
60,0.9965132813265064,0.9800752795936739,0.9679982831895194,0.9753092235917201,0.9725123001773821,0.9725454414835731,1.0835435676915548,1.850419305421653
61,1.3452809391009322,1.3335976543660553,1.335823272597977,1.337596002468132,1.3395235729291763,1.3404116343028099,0.7104647157193046,0.5993053766352385
62,1.0789928575451493,1.0802320155620884,1.0805039560708163,1.0800821772481317,1.0805733306637437,1.0802936738964233,1.0119415763443818,1.14422315451659
63,1.1326623969979903,1.131721245331305,1.1301884695809994,1.1299998382045149,1.1280560176170118,1.1286528350974356,0.9246014744207404,1.174746600580511
